"","id","version","classification.score.1","classification.score.2","give.trials","deception.score","INT","LIF","AFF","ANT","mach_total","nar_total","pers_sum","ref_sum","bor_total","lpa","lambda","eta","gamma","eta.gamma.ratio","alpha","beta"
"61",61,"comp",58,58,39,89.7435897435898,12,15,16,9,22,22,1,0,11,"1",4.64794591505525,0.563790149177841,0.506796317800639,1.11245904789628,5.37093119202715,-8.57826389962592
"62",62,"comp",57,55,26,19.2307692307692,8,8,10,11,12,22,3,4,10,"1",4.12787921484111,0.603267779972758,0.681906718611562,0.88467786503274,1.29081617864734,-5.43050521590586
"63",63,"comp",54,53,50,82,13,13,13,11,19,27,1,0,17,"1",4.25582065544571,0.327166714026778,0.263036134749924,1.24380900874256,0.839010936225005,-7.06998141193683
"64",64,"comp",52,49,36,61.1111111111111,7,7,11,12,13,23,0,1,4,"1",4.42042970878837,0.664722868152707,0.646666666046455,1.02792196204676,0.632223500232807,-8.96987193443333
"65",65,"comp",59,57,46,0,10,16,12,8,37,33,14,5,36,"2",4.1115173500643,0.400028420130189,0.6643351634991,0.60214849688704,0.938212235248277,-4.31070367326816
"66",66,"comp",53,52,40,0,13,14,12,10,20,23,0,0,15,"1",3.94103213069544,0.817620457142557,0.99931389667198,0.818181814408348,0.0117532696719518,-7.45147701925401
"67",67,"comp",58,56,31,25.8064516129032,14,19,17,12,28,25,14,10,37,"4",4.18787986709748,0.440205171525937,0.47210429521111,0.932432040952077,2.79793334417409,-6.12711772828171
"68",68,"comp",62,61,39,5.12820512820513,8,11,9,10,16,28,10,15,6,"2",4.35869146466625,0.42734518158805,0.5426562310323,0.787506264831986,6.35579979029646e-07,-7.82605017050724
"69",69,"comp",57,57,41,4.8780487804878,10,10,13,7,16,21,2,4,8,"1",4.33798379593803,0.58588349173809,0.666666666058034,0.878825238409457,2.42586254727773,-7.93402583892932
"70",70,"comp",58,58,36,11.1111111111111,10,8,12,9,21,26,0,0,6,"3",4.72725764439499,0.517242820816424,0.585075857535857,0.884061124987924,7.15136536055631,-6.45571637552697
"71",71,"comp",54,55,48,8.33333333333333,9,15,17,11,20,26,0,0,11,"1",4.10361236383774,0.540143429006201,0.634163935036778,0.851741007591161,2.86015571032288,-4.95766148077971
"72",72,"comp",58,58,41,0,12,14,13,12,21,23,0,0,23,"1",4.619046391931,0.432488371017572,0.658397858350811,0.656879978469084,6.1768982151323,-7.9195608658743
"73",73,"comp",63,62,48,83.3333333333333,22,20,15,13,33,25,10,8,32,"4",4.2438807365013,0.692622376672441,0.606561135099782,1.14188387054918,2.17233277556025,-6.06445044165973
"74",74,"comp",57,57,35,71.4285714285714,11,7,12,12,24,29,0,0,0,"1",4.83297489353029,0.564676194146212,0.521312651733185,1.08318145026571,8.84005114694212,-4.4030921225371
"75",75,"comp",59,57,29,10.3448275862069,8,7,14,8,15,20,0,0,3,"3",4.43373969022965,0.464271772619608,0.528884947539603,0.877831321877133,1.10912661822883,-8.3884964868683
"76",76,"comp",50,51,20,30,13,10,12,8,37,39,6,9,15,"2",4.19595218513944,0.577767768117938,0.502510699718238,1.14976212136756,2.43906134056821,1.99023140690758
"77",77,"comp",45,45,20,10,24,25,24,11,38,36,20,6,32,"4",4.38859673103955,0.383650054093814,0.497475911855974,0.771193227552465,6.70802516809388,-4.01140048190586
"78",78,"comp",51,49,20,5,11,13,11,8,17,36,0,0,5,"3",4.0061607048316,0.658048337216311,0.804281302438674,0.818181816761166,0.606165519438243,-4.08460656965462
"79",79,"comp",57,55,26,11.5384615384615,14,17,18,18,22,26,0,0,9,"1",4.18220477798309,0.420247516343695,0.50733606956673,0.828341491080243,2.33233527926532,-6.25486015683629
"80",80,"comp",57,58,20,10,11,11,9,8,15,21,1,4,10,"1",4.46159128281536,0.545327077568844,0.611111102822735,0.892353411760917,5.01483890396591,-7.72261054360991
"81",81,"comp",57,57,31,70.9677419354839,14,8,12,8,32,28,7,4,21,"2",4.09662479138179,0.333824401871237,0.283979481806325,1.17552296295444,0.324697649778031,-5.22582942882677
