"","id","version","classification.score.1","classification.score.2","give.trials","deception.score","INT","LIF","AFF","ANT","mach_total","nar_total","pers_sum","ref_sum","bor_total","lpa","lambda","eta","gamma","eta.gamma","alpha","beta"
"465",465,"control",59,53,24,0,12,15,11,8,25,20,0,3,38,"1",4.22263565815936,0.225934586105583,7.23594564560784e-08,0.225934513746127,0.218086294627253,-8.1113666292771
"466",466,"control",55,56,31,0,17,13,12,11,26,27,1,0,12,"1",3.82774791100429,1.23246755806654,0.0683122016990211,1.16415535636752,1.97393785201775,-6.49394195233356
"467",467,"control",54,53,57,43.859649122807,19,14,9,11,21,24,0,7,46,"1",4.0544873752093,0.00827963157546178,0.0124326187155283,-0.00415298714006652,2.48073379435921,-7.69109448374996
"468",468,"control",55,55,29,0,10,8,10,8,19,22,0,1,19,"3",4.34988316872938,0.893559916123612,0.607163994310267,0.286395921813345,1.6120253258969,-9.00271596373645
"469",469,"control",56,56,37,0,11,8,12,10,26,20,0,1,7,"3",4.74312315863024,1.63772650520689,0.947701723104116,0.690024782102774,4.4867337399271,-9.45744944558077
"470",470,"control",47,48,30,0,25,22,28,24,30,28,19,14,38,"4",4.49485003423481,1.16416472136814,0.404607628573614,0.759557092794526,3.86033489920113,-8.95488087565269
"471",471,"control",60,57,24,0,7,9,10,8,18,24,0,1,3,"3",3.6225594642736,2.24337260703009,0.87163099767596,1.37174160935413,1.77100901659894,-5.28900785721624
"472",472,"control",55,50,27,3.7037037037037,6,8,11,9,13,27,0,0,13,"3",4.11393373368038,0.99334742775758,0.628068977403942,0.365278450353638,0.82748561819951,-8.08047513451059
"473",473,"control",57,57,20,5,16,14,17,12,29,24,0,3,16,"1",4.83918926528513,1.26709278729336,1.03271326159142,0.23437952570194,3.74571396939642,-10.2281217334073
"474",474,"control",55,56,25,12,16,10,16,8,28,22,0,0,8,"1",3.69686942580436,0.202721641996041,0.0854676646260298,0.117253977370011,1.79911773694158,-5.70969822378554
"475",475,"control",60,59,38,2.63157894736842,10,9,10,9,24,29,1,4,9,"1",4.33494046273162,1.29574002231591,1.01529651940356,0.28044350291235,3.01020899757975,-8.69361469642372
"476",476,"control",59,57,25,8,12,12,12,8,29,25,0,1,2,"3",4.43436328508678,1.05066976839313,0.849312864187014,0.201356904206116,1.97829233851081,-9.03589195640229
